"","street","dist_to_nearest_mrt","mrt_1km","dist_to_nearest_supermarket","supermarket_1km","dist_to_nearest_hawkers","hawkers_1km","dist_to_nearest_primary_schools","primary_schools_1km","dist_to_nearest_hospital","hospitals_1km","dist_cbd","postal_2dig","lease_commence_date"
"1","406 ANG MO KIO AVE 10",1.00512069359733,0,0.389702303465616,2,0.182112134125808,3,0.229432764178342,2,2.8226109202179,0,8.24667904447253,"56",1979
"2","108 ANG MO KIO AVE 4",0.190087262863439,1,0.391516821572047,6,0.357354942083182,5,0.242495268456011,3,1.47270538083105,0,9.36380865113012,"56",1978
"3","602 ANG MO KIO AVE 5",0.535716054632374,1,0.853789199813453,1,0.586177110573292,3,0.776741380619566,3,0.666273066475829,1,10.4859034020598,"56",1980
"4","465 ANG MO KIO AVE 10",0.946586470943108,1,0.479886504407996,4,0.245932592189609,3,0.698208661487664,3,2.4124651404742,0,8.73136871339119,"56",1980
"5","601 ANG MO KIO AVE 5",0.50171186228769,1,0.899151610741515,1,0.611701836762753,3,0.782319227248212,2,0.669264321683127,1,10.5269569972846,"56",1980
"6","150 ANG MO KIO AVE 5",0.640153169700853,2,0.401087815156353,3,0.405450685125485,4,0.135571336496434,4,0.823940529129471,1,9.95069169870383,"56",1981
"7","447 ANG MO KIO AVE 10",0.763766534237314,1,0.407254152805979,4,0.0949511197392172,4,0.595975890007547,3,2.51224134945374,0,8.86502757285002,"56",1979
"8","218 ANG MO KIO AVE 1",0.911257336589686,1,0.152854953811598,7,0.300220195820371,4,0.523543951669769,1,2.10963093375183,0,8.66247545173226,"56",1976
"9","571 ANG MO KIO AVE 3",0.592480978850667,1,0.308716311292899,5,0.259988996442182,4,0.385451213187626,2,2.24260774109332,0,9.14604895980695,"56",1979
"10","534 ANG MO KIO AVE 10",0.688574909173581,1,0.160271184098689,5,0.146784557509112,3,0.383307756132193,1,1.89533947596604,0,9.58888799304206,"56",1980
"11","233 ANG MO KIO AVE 3",0.436122131163996,2,0,4,0.281016317404126,4,0.377346475879463,3,1.87708153128997,0,9.01739030253411,"56",1977
"12","235 ANG MO KIO AVE 3",0.516546034220299,2,0.085413106957313,4,0.296151536658597,4,0.446561726095923,3,1.96195560973954,0,8.94326937351613,"56",1977
"13","219 ANG MO KIO AVE 1",0.760986921663743,2,0.144861003291426,7,0.152394465678922,6,0.388829785051954,1,2.00819729908954,0,8.77401787820863,"56",1977
"14","536 ANG MO KIO AVE 10",0.714891954045449,1,0.204837071736775,4,0.193562982014903,3,0.413007778276064,1,1.86247871411356,0,9.63489943265289,"56",1980
"15","230 ANG MO KIO AVE 3",0.325878267150665,2,0.194047299928455,4,0.267934438081081,4,0.19991131269016,2,1.71020697575415,0,9.13756517450355,"56",1978
"16","570 ANG MO KIO AVE 3",0.719788363086691,1,0.400857146179081,4,0.171261773019027,3,0.515454771333562,2,2.35913353315513,0,9.11710062386895,"56",1979
"17","624 ANG MO KIO AVE 4",0.550739384218448,2,0.817100544434268,1,0.0945237744765594,3,0.332897055162092,2,0.276411841910957,1,10.5026413861429,"56",1980
"18","441 ANG MO KIO AVE 10",0.67084520442053,1,0.152878710650691,5,0.344204074270853,4,0.361054671336815,3,2.52271543105384,0,8.69779777400681,"56",1979
"19","625 ANG MO KIO AVE 9",0.418651518182927,2,0.906505543092399,1,0.14963590243203,3,0.22383293461346,2,0.223939868298878,1,10.5571522524807,"56",1980
"20","119 ANG MO KIO AVE 3",0.542328337710731,2,0.159107299237103,7,0.353549615891196,6,0.564653116351725,4,1.68024977114676,0,9.1189865904341,"56",1978
"21","255 ANG MO KIO AVE 4",0.233647185856932,2,0.417947704726217,5,0.608044060615687,5,0.316932987873629,2,1.61845361802689,0,9.40217713540407,"56",1977
"22","432 ANG MO KIO AVE 10",0.484769215917134,1,0.333231710505959,5,0.306268118337562,5,0.417361667553415,3,2.28706799423989,0,8.94758049100575,"56",1979
"23","211 ANG MO KIO AVE 3",0.620992795697833,2,0.22353343527186,7,0.288234993180301,6,0.226982542653575,3,1.6564674471487,0,9.11385660112161,"56",1977
"24","584 ANG MO KIO AVE 3",0.44655879276532,1,0.219962961145106,6,0.253366336330659,5,0.214911012072293,2,2.08163480913735,0,9.21441053331958,"56",1979
